Picture_ID;Category;Description;SUMO_1;SUMO_2;SUMO_3;SUMO_4;SUMO_5;SUMO_6;SUMO_7;;;;;;;;;;;;;;;;;;
Objects_050_h;Objects;finished meal;%SelfConnectedObject+;%Tableware+;;;;;;;;;;;;;;;;;;;;;;;
Objects_051_h;Objects;meal;%Meal=;%Seafood=;%Pasta+;;;;;;;;;;;;;;;;;;;;;;
Objects_052_h;Objects;meal;%Meal=;%Meat=;%RiceGrain=;;;;;;;;;;;;;;;;;;;;;;
Objects_053_h;Objects;meal;%Meal=;%Tableware+;%Cup=;;;;;;;;;;;;;;;;;;;;;;
Objects_054_h;Objects;meal;%Meal=;%Food+;%Milk=;;;;;;;;;;;;;;;;;;;;;;
Objects_055_v;Objects;beer;%Beer=;%Artifact+;%Table=;;;;;;;;;;;;;;;;;;;;;;
Objects_056_h;Objects;Indian food;%Food=;%LandArea@;%PlantLeaf=;%Marble=;;;;;;;;;;;;;;;;;;;;;
Objects_057_h;Objects;meal;%Meal=;%Food+;%Meat=;;;;;;;;;;;;;;;;;;;;;;
Objects_058_h;Objects;stall;%Artifact+;%Food=;%FruitOrVegetable=;;;;;;;;;;;;;;;;;;;;;;
Objects_059_h;Objects;snails;%FishMeat+;%Artifact+;%Table=;;;;;;;;;;;;;;;;;;;;;;
Objects_060_h;Objects;fish;%FishMeat+;%Scales=;%Wall=;;;;;;;;;;;;;;;;;;;;;;
Objects_061_h;Objects;food;%Food=;%PotOrPan=;;;;;;;;;;;;;;;;;;;;;;;
Objects_062_h;Objects;meat;%Meat=;%CookedAttribute+;%CookedAttribute+;;;;;;;;;;;;;;;;;;;;;;
Objects_063_v;Objects;stew;%PreparedFood+;%PotOrPan=;%FruitOrVegetable+;%Meat=;;;;;;;;;;;;;;;;;;;;;
Objects_064_v;Objects;meat;%Meat=;%FruitOrVegetable+;%SolidFood=;;;;;;;;;;;;;;;;;;;;;;
Objects_065_h;Objects;lobsters;%LobsterMeat=;%Box=;;;;;;;;;;;;;;;;;;;;;;;
Objects_066_v;Objects;meal;%Meal=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_067_h;Objects;sausages;%PreparedFood+;;;;;;;;;;;;;;;;;;;;;;;;
Objects_068_v;Objects;mushrooms;%Fungus+;%BotanicalTree=;;;;;;;;;;;;;;;;;;;;;;;
Objects_069_h;Objects;dumplings;%Food+;%PotOrPan=;;;;;;;;;;;;;;;;;;;;;;;
Objects_070_v;Objects;jar;%Artifact+;;;;;;;;;;;;;;;;;;;;;;;;
Objects_071_h;Objects;fruits;%FruitOrVegetable=;%FruitOrVegetable+;%ChemicalDecomposition+;;;;;;;;;;;;;;;;;;;;;;
Objects_072_v;Objects;sushi;%PreparedFood+;%HomeBase=;%Device+;;;;;;;;;;;;;;;;;;;;;;
Objects_073_h;Objects;scrambled eggs;%BirdEgg=;%SubjectiveAssessmentAttribute+;%BreadOrBiscuit+;%Butter=;;;;;;;;;;;;;;;;;;;;;
Objects_074_v;Objects;drink;%Beverage+;;;;;;;;;;;;;;;;;;;;;;;;
Objects_075_h;Objects;meal;%Meal=;%LemonFruit=;%Tableware+;;;;;;;;;;;;;;;;;;;;;;
Objects_076_v;Objects;salad;%Food+;%Meat=;;;;;;;;;;;;;;;;;;;;;;;
Objects_077_h;Objects;vegetables;%Vegetable=;%FacialExpression=;;;;;;;;;;;;;;;;;;;;;;;
Objects_078_h;Objects;pizza;%PreparedFood+;;;;;;;;;;;;;;;;;;;;;;;;
Objects_079_h;Objects;jam;%PreparedFood+;%Tableware+;;;;;;;;;;;;;;;;;;;;;;;
Objects_080_h;Objects;cake;%PreparedFood+;%Chocolate=;;;;;;;;;;;;;;;;;;;;;;;
Objects_081_h;Objects;dumplings;%Food+;;;;;;;;;;;;;;;;;;;;;;;;
Objects_082_h;Objects;cheese;%Cheese=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_083_h;Objects;food;%SolidFood=;%Cheese=;%BreadOrBiscuit+;;;;;;;;;;;;;;;;;;;;;;
Objects_084_v;Objects;table;%Table+;%Candle=;%Tableware+;%Cup=;;;;;;;;;;;;;;;;;;;;;
Objects_085_h;Objects;cake;%PreparedFood+;%Chocolate=;%Tableware+;%Tableware+;;;;;;;;;;;;;;;;;;;;;
Objects_086_h;Objects;bananas;%Banana=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_087_h;Objects;durian;%FruitOrVegetable+;%RailVehicle+;;;;;;;;;;;;;;;;;;;;;;;
Objects_088_h;Objects;fish;%Fish=;%Dead=;;;;;;;;;;;;;;;;;;;;;;;
Objects_089_h;Objects;lychee fruit;%FruitOrVegetable+;;;;;;;;;;;;;;;;;;;;;;;;
Objects_090_h;Objects;onions;%FruitOrVegetable+;;;;;;;;;;;;;;;;;;;;;;;;
Objects_091_h;Objects;boiled eggs;%BirdEgg=;%Cooking+;%BreadOrBiscuit+;%Cucumber=;;;;;;;;;;;;;;;;;;;;;
Objects_092_v;Objects;meal;%Meal=;%SolidFood=;;;;;;;;;;;;;;;;;;;;;;;
Objects_093_h;Objects;mushrooms;%Fungus+;;;;;;;;;;;;;;;;;;;;;;;;
Objects_094_v;Objects;vegetables;%Vegetable=;%FruitOrVegetable+;%FruitOrVegetable+;%Broccoli=;;;;;;;;;;;;;;;;;;;;;
Objects_095_h;Objects;meal;%Meal=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_096_v;Objects;kiwifruit drink;%Beverage+;%FruitOrVegetable+;%Cup=;;;;;;;;;;;;;;;;;;;;;;
Objects_097_h;Objects;sandwiches;%Sandwich=;%Beverage+;;;;;;;;;;;;;;;;;;;;;;;
Objects_098_v;Objects;carrots;%Carrot=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_099_h;Objects;tea;%Tea=;%Cup=;;;;;;;;;;;;;;;;;;;;;;;
Objects_100_v;Objects;meal;%Meal=;%Meat=;;;;;;;;;;;;;;;;;;;;;;;
Objects_101_h;Objects;cake;%PreparedFood+;%Nut=;%Artifact+;;;;;;;;;;;;;;;;;;;;;;
Objects_102_v;Objects;meal;%Meal=;%Meat+;%Spice+;;;;;;;;;;;;;;;;;;;;;;
Objects_103_h;Objects;French fries;%PreparedFood+;%Tableware+;;;;;;;;;;;;;;;;;;;;;;;
Objects_104_v;Objects;sandwiches;%Sandwich=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_105_h;Objects;knives;%CuttingDevice+;%Container=;;;;;;;;;;;;;;;;;;;;;;;
Objects_106_v;Objects;fridge;%Refrigerator=;%Food+;;;;;;;;;;;;;;;;;;;;;;;
Objects_107_h;Objects;toy;%Toy=;%SubjectiveAssessmentAttribute+;;;;;;;;;;;;;;;;;;;;;;;
Objects_108_v;Objects;objects;%CorpuscularObject=;%Artifact+;;;;;;;;;;;;;;;;;;;;;;;
Objects_109_h;Objects;excrement;%Excrement=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_110_v;Objects;toilet;%Toilet+;%Blue+;;;;;;;;;;;;;;;;;;;;;;;
Objects_111_h;Objects;doll;%Doll=;%Toy=;;;;;;;;;;;;;;;;;;;;;;;
Objects_112_h;Objects;bouquet;%ArtWork+;%Glass=;%Detaching=;;;;;;;;;;;;;;;;;;;;;;
Objects_113_h;Objects;glass;%Glass=;%Soil=;;;;;;;;;;;;;;;;;;;;;;;
Objects_114_h;Objects;suitcase;%TravelContainer+;%Soil=;%Red=;;;;;;;;;;;;;;;;;;;;;;
Objects_115_h;Objects;coal;%SelfConnectedObject+;%CuttingDevice+;;;;;;;;;;;;;;;;;;;;;;;
Objects_116_v;Objects;curtain;%Curtain+;%Window=;%Metal+;%Soil=;;;;;;;;;;;;;;;;;;;;;
Objects_117_h;Objects;broken glass;%Glass=;%Detaching=;;;;;;;;;;;;;;;;;;;;;;;
Objects_118_v;Objects;handcuffs;%Device+;%Brick+;%Nail=;;;;;;;;;;;;;;;;;;;;;;
Objects_119_h;Objects;knife;%CuttingDevice+;%Fabric=;%White=;;;;;;;;;;;;;;;;;;;;;;
Objects_120_h;Objects;toy;%Toy=;%Box=;%Pipeline+;%Detaching=;;;;;;;;;;;;;;;;;;;;;
Objects_121_v;Objects;toilet;%Toilet+;%Blood=;;;;;;;;;;;;;;;;;;;;;;;
Objects_122_h;Objects;garbage;%SubjectiveAssessmentAttribute+;%Artifact+;%BrushOrComb=;;;;;;;;;;;;;;;;;;;;;;
Objects_123_h;Objects;broken glass;%Glass=;%Detaching=;%Artifact+;;;;;;;;;;;;;;;;;;;;;;
Objects_124_h;Objects;toilet;%Toilet+;%Metal=;;;;;;;;;;;;;;;;;;;;;;;
Objects_125_h;Objects;toilet;%Toilet+;%Excrement=;;;;;;;;;;;;;;;;;;;;;;;
Objects_126_h;Objects;glass;%Cup=;%Blood=;%Fabric+;;;;;;;;;;;;;;;;;;;;;;
Objects_127_h;Objects;dustbin;%Artifact+;%Device+;;;;;;;;;;;;;;;;;;;;;;;
Objects_128_h;Objects;tiles;%Artifact+;%ElectricalWire=;;;;;;;;;;;;;;;;;;;;;;;
Objects_129_h;Objects;shoes;%Shoe=;%SpaceRegion=;;;;;;;;;;;;;;;;;;;;;;;
Objects_130_h;Objects;lock;%Lock+;%Door+;%Wood=;;;;;;;;;;;;;;;;;;;;;;
Objects_131_h;Objects;knives;%CuttingDevice+;%Weapon=;%Fabric=;%White=;;;;;;;;;;;;;;;;;;;;;
Objects_132_h;Objects;straps;%Device+;%Bed=;%HospitalBuilding+;;;;;;;;;;;;;;;;;;;;;;
Objects_133_h;Objects;objects;%CorpuscularObject=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_134_h;Objects;broken objects;%CorpuscularObject=;%Detaching=;;;;;;;;;;;;;;;;;;;;;;;
Objects_135_h;Objects;bottles;%Bottle=;%Wet=;;;;;;;;;;;;;;;;;;;;;;;
Objects_136_h;Objects;objects;%CorpuscularObject=;%Wall=;;;;;;;;;;;;;;;;;;;;;;;
Objects_137_h;Objects;guns;%Gun=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_138_h;Objects;bottles;%Bottle=;%Floor+;%Window=;%CigarOrCigarette+;;;;;;;;;;;;;;;;;;;;;
Objects_139_h;Objects;doll head;%Doll=;%Head=;%Dirty=;%Detaching+;;;;;;;;;;;;;;;;;;;;;
Objects_140_h;Objects;bottle;%Bottle=;%LandArea=;%AnatomicalStructure+;%BotanicalTree=;;;;;;;;;;;;;;;;;;;;;
Objects_141_h;Objects;broken bottle;%Bottle=;%Detaching=;%LandArea=;;;;;;;;;;;;;;;;;;;;;;
Objects_142_h;Objects;broken bottle;%Bottle=;%Detaching=;%LandArea=;;;;;;;;;;;;;;;;;;;;;;
Objects_143_h;Objects;guns and knives;%Gun=;%CuttingDevice+;%Fabric=;%White=;;;;;;;;;;;;;;;;;;;;;
Objects_144_h;Objects;dirt;%Soil=;%Sand=;%SubjectiveAssessmentAttribute+;;;;;;;;;;;;;;;;;;;;;;
Objects_145_h;Objects;coffins;%Coffin+;;;;;;;;;;;;;;;;;;;;;;;;
Objects_146_h;Objects;glass;%Cup=;%Window=;;;;;;;;;;;;;;;;;;;;;;;
Objects_147_v;Objects;knife;%CuttingDevice+;%Fabric=;%White=;;;;;;;;;;;;;;;;;;;;;;
Objects_148_h;Objects;guns and handcuffs;%Gun=;%Device+;%Bullet=;%Rifle=;;;;;;;;;;;;;;;;;;;;;
Objects_149_h;Objects;blood;%Blood=;%Helmet=;%Shoe=;%Roadway+;;;;;;;;;;;;;;;;;;;;;
Objects_150_h;Objects;dog collar;%AnimalController+;;;;;;;;;;;;;;;;;;;;;;;;
Objects_151_h;Objects;garbage;%SubjectiveAssessmentAttribute+;;;;;;;;;;;;;;;;;;;;;;;;
Objects_152_v;Objects;bottle;%Bottle=;%StationaryArtifact+;;;;;;;;;;;;;;;;;;;;;;;
Objects_153_h;Objects;rust;%CompoundSubstance+;;;;;;;;;;;;;;;;;;;;;;;;
Objects_154_h;Objects;blood;%Blood=;%Artifact+;;;;;;;;;;;;;;;;;;;;;;;
Objects_155_h;Objects;flowerpot;%Container+;%Snowing=;;;;;;;;;;;;;;;;;;;;;;;
Objects_156_v;Objects;bathtub;%BathTub=;%Dirty=;;;;;;;;;;;;;;;;;;;;;;;
Objects_157_h;Objects;bottles;%Bottle=;%Dirty=;;;;;;;;;;;;;;;;;;;;;;;
Objects_158_h;Objects;doll arm;%Doll=;%Arm=;%Dirty=;;;;;;;;;;;;;;;;;;;;;;
Objects_159_v;Objects;broken shelf;%Shelf+;%Detaching=;;;;;;;;;;;;;;;;;;;;;;;
Objects_160_h;Objects;sculptures;%Making+;%Head=;%PhysicalAttribute+;;;;;;;;;;;;;;;;;;;;;;
Objects_161_v;Objects;kettle;%PotOrPan+;%Stove+;%Kitchen=;;;;;;;;;;;;;;;;;;;;;;
Objects_162_h;Objects;suitcases;%TravelContainer+;%Roadway=;;;;;;;;;;;;;;;;;;;;;;;
Objects_163_v;Objects;wardrobe;%Closet+;;;;;;;;;;;;;;;;;;;;;;;;
Objects_164_h;Objects;objects;%CorpuscularObject=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_165_v;Objects;wooden bellows;%Device+;%Wood=;%Damaging=;%Rock=;;;;;;;;;;;;;;;;;;;;;
Objects_166_h;Objects;shoes;%Shoe=;%Paper=;;;;;;;;;;;;;;;;;;;;;;;
Objects_167_v;Objects;sculptures;%Making+;%Metal=;;;;;;;;;;;;;;;;;;;;;;;
Objects_168_v;Objects;door;%Door+;%Metal=;;;;;;;;;;;;;;;;;;;;;;;
Objects_169_h;Objects;baby carriages;%UnpoweredVehicle+;%Wall=;;;;;;;;;;;;;;;;;;;;;;;
Objects_170_v;Objects;toilet;%Toilet+;%Artifact+;;;;;;;;;;;;;;;;;;;;;;;
Objects_171_h;Objects;drums;%Drum=;%Device+;;;;;;;;;;;;;;;;;;;;;;;
Objects_172_v;Objects;microphone;%Microphone=;%Green=;;;;;;;;;;;;;;;;;;;;;;;
Objects_173_h;Objects;fence;%Fence=;%Green=;;;;;;;;;;;;;;;;;;;;;;;
Objects_174_v;Objects;guitar;%Guitar=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_175_h;Objects;garbage;%Substance+;%ElectricDevice+;;;;;;;;;;;;;;;;;;;;;;;
Objects_176_v;Objects;toy;%Toy=;%Green=;;;;;;;;;;;;;;;;;;;;;;;
Objects_177_h;Objects;cables;%Cable=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_178_v;Objects;candlestick;%Artifact+;%Candle=;;;;;;;;;;;;;;;;;;;;;;;
Objects_179_h;Objects;objects;%CorpuscularObject=;%Device+;;;;;;;;;;;;;;;;;;;;;;;
Objects_180_v;Objects;coffee table;%Table+;%Artifact+;%Chair=;;;;;;;;;;;;;;;;;;;;;;
Objects_181_h;Objects;towel;%Device+;%RailroadTrack=;;;;;;;;;;;;;;;;;;;;;;;
Objects_182_v;Objects;shower;%Shower=;%Artifact+;;;;;;;;;;;;;;;;;;;;;;;
Objects_183_h;Objects;chessboards;%GameBoard+;;;;;;;;;;;;;;;;;;;;;;;;
Objects_184_v;Objects;dustbin;%Device+;;;;;;;;;;;;;;;;;;;;;;;;
Objects_185_h;Objects;sculpture;%Making+;%AlphabeticCharacter+;;;;;;;;;;;;;;;;;;;;;;;
Objects_186_v;Objects;thermometer;%Thermometer=;%Oxidation+;;;;;;;;;;;;;;;;;;;;;;;
Objects_187_h;Objects;toys and clothes;%Toy=;%Clothing+;;;;;;;;;;;;;;;;;;;;;;;
Objects_188_v;Objects;dustbin;%Device+;%Melting+;;;;;;;;;;;;;;;;;;;;;;;
Objects_189_h;Objects;shoes;%Shoe=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_190_h;Objects;toy;%Toy=;%Lion=;%Chair=;;;;;;;;;;;;;;;;;;;;;;
Objects_191_v;Objects;plastic duck;%Duck=;%Substance+;;;;;;;;;;;;;;;;;;;;;;;
Objects_192_h;Objects;plastic duck;%Duck=;%Plastic=;;;;;;;;;;;;;;;;;;;;;;;
Objects_193_v;Objects;staircase;%Steps=;%ShapeAttribute+;%Black=;;;;;;;;;;;;;;;;;;;;;;
Objects_194_h;Objects;glasses;%EyeGlass+;;;;;;;;;;;;;;;;;;;;;;;;
Objects_195_v;Objects;violin;%Violin=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_196_h;Objects;watch straps;%Clothing+;;;;;;;;;;;;;;;;;;;;;;;;
Objects_197_v;Objects;knife;%CuttingDevice+;%Sand=;;;;;;;;;;;;;;;;;;;;;;;
Objects_198_h;Objects;coins;%CurrencyCoin=;%Currency=;;;;;;;;;;;;;;;;;;;;;;;
Objects_199_v;Objects;candlestick;%Artifact+;%Candle=;;;;;;;;;;;;;;;;;;;;;;;
Objects_200_h;Objects;telephone;%Telephone=;%Red=;;;;;;;;;;;;;;;;;;;;;;;
Objects_201_v;Objects;cloths;%Fabric=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_202_h;Objects;cannon;%ArtilleryCannon=;%MilitaryTank=;;;;;;;;;;;;;;;;;;;;;;;
Objects_203_v;Objects;carousel;%Artifact+;%Green=;;;;;;;;;;;;;;;;;;;;;;;
Objects_204_h;Objects;containers;%Container+;%Box=;%Green=;;;;;;;;;;;;;;;;;;;;;;
Objects_205_h;Objects;sculpture;%Making+;%Ice+;%Truck=;;;;;;;;;;;;;;;;;;;;;;
Objects_206_h;Objects;sink;%WashBasin+;%Dirty=;;;;;;;;;;;;;;;;;;;;;;;
Objects_207_h;Objects;garbage;%SubjectiveAssessmentAttribute+;;;;;;;;;;;;;;;;;;;;;;;;
Objects_208_h;Objects;wood;%Wood=;%BoardOrBlock+;;;;;;;;;;;;;;;;;;;;;;;
Objects_209_h;Objects;kitchen utensils;%Device+;%Marketplace=;;;;;;;;;;;;;;;;;;;;;;;
Objects_210_h;Objects;window grating;%Window=;%Device+;;;;;;;;;;;;;;;;;;;;;;;
Objects_211_h;Objects;wheel;%VehicleWheel=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_212_h;Objects;broken window;%Window=;%Detaching=;;;;;;;;;;;;;;;;;;;;;;;
Objects_213_h;Objects;fence;%Fence=;%Detaching=;%GeographicArea+;;;;;;;;;;;;;;;;;;;;;;
Objects_214_h;Objects;potteries;%Pottery=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_215_v;Objects;toilet;%Toilet+;%ColorAttribute+;;;;;;;;;;;;;;;;;;;;;;;
Objects_216_h;Objects;pans;%PotOrPan=;%Box=;;;;;;;;;;;;;;;;;;;;;;;
Objects_217_h;Objects;candle;%Candle=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_218_h;Objects;garbage;%SubjectiveAssessmentAttribute+;;;;;;;;;;;;;;;;;;;;;;;;
Objects_219_h;Objects;glass;%Cup=;%Artifact+;;;;;;;;;;;;;;;;;;;;;;;
Objects_220_h;Objects;metal objects;%Artifact+;%Metal=;%Shelf+;;;;;;;;;;;;;;;;;;;;;;
Objects_221_h;Objects;suitcases;%TravelContainer+;;;;;;;;;;;;;;;;;;;;;;;;
Objects_222_h;Objects;pipes;%Pipeline+;%Valve=;%Metal=;;;;;;;;;;;;;;;;;;;;;;
Objects_223_h;Objects;light bulb;%LightBulb=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_224_h;Objects;hook;%Device+;%Metal=;%Chain=;;;;;;;;;;;;;;;;;;;;;;
Objects_225_h;Objects;chain;%Chain=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_226_h;Objects;lighter;%Device+;%Wood=;;;;;;;;;;;;;;;;;;;;;;;
Objects_227_v;Objects;shelter;%Building+;%Blue+;;;;;;;;;;;;;;;;;;;;;;;
Objects_228_h;Objects;pipes;%Pipeline+;%Metal=;%Oxidation+;;;;;;;;;;;;;;;;;;;;;;
Objects_229_h;Objects;drawer;%Compartment+;%Dirty=;%Blue+;;;;;;;;;;;;;;;;;;;;;;
Objects_230_h;Objects;boots;%Shoe=;%StationaryArtifact+;;;;;;;;;;;;;;;;;;;;;;;
Objects_231_h;Objects;boots;%Shoe=;%Soil=;%BoardOrBlock+;;;;;;;;;;;;;;;;;;;;;;
Objects_232_h;Objects;handbag;%Bag+;%WaterArea=;;;;;;;;;;;;;;;;;;;;;;;
Objects_233_h;Objects;bottle;%Bottle=;%WaterArea=;;;;;;;;;;;;;;;;;;;;;;;
Objects_234_h;Objects;door handle;%Device+;%Oxidation+;%Damaging=;;;;;;;;;;;;;;;;;;;;;;
Objects_235_h;Objects;doorbell;%SwitchDevice+;%Damaging=;;;;;;;;;;;;;;;;;;;;;;;
Objects_236_h;Objects;garbage;%SubjectiveAssessmentAttribute+;%Roadway=;;;;;;;;;;;;;;;;;;;;;;;
Objects_237_h;Objects;mug;%Artifact+;%Artifact+;;;;;;;;;;;;;;;;;;;;;;;
Objects_238_h;Objects;dishes;%Dish=;%SubjectiveAssessmentAttribute+;;;;;;;;;;;;;;;;;;;;;;;
Objects_239_v;Objects;lock;%Lock+;%Red=;;;;;;;;;;;;;;;;;;;;;;;
Objects_240_h;Objects;bike rack;%Holder+;%BotanicalTree=;;;;;;;;;;;;;;;;;;;;;;;
Objects_241_h;Objects;chair;%Chair=;%Yellow=;%located+;;;;;;;;;;;;;;;;;;;;;;
Objects_242_h;Objects;dishes;%Dish=;%WashBasin+;;;;;;;;;;;;;;;;;;;;;;;
Objects_243_h;Objects;bottle;%Bottle=;%BotanicalTree=;%Forest=;;;;;;;;;;;;;;;;;;;;;;
Objects_244_h;Objects;car pedals;%Lever+;%Automobile=;;;;;;;;;;;;;;;;;;;;;;;
Objects_245_h;Objects;keyboard;%Keyboard=;%Desk=;;;;;;;;;;;;;;;;;;;;;;;
Objects_246_h;Objects;mouse;%ComputerMouse=;%Keyboard=;%Desk=;%White=;;;;;;;;;;;;;;;;;;;;;
Objects_247_h;Objects;mouse;%ComputerMouse=;%Black=;%Artifact+;;;;;;;;;;;;;;;;;;;;;;
Objects_248_h;Objects;switch;%SwitchDevice=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_249_v;Objects;bottles;%Bottle=;%Box=;%Collection+;;;;;;;;;;;;;;;;;;;;;;
Objects_250_h;Objects;sculpture;%Making+;%Automobile=;%Red=;;;;;;;;;;;;;;;;;;;;;;
