Picture_ID;Category;Description;SUMO_1;SUMO_2;SUMO_3;SUMO_4;SUMO_5;SUMO_6;SUMO_7;;;;;;;;;;;;;;;;;;
Animals_020_h;Animals;alligator;%Alligator=;;;;;;;;;;;;;;;;;;;;;;;;
Animals_021_h;Animals;small alligators;%SubjectiveStrongNegativeAttribute+;%Alligator=;;;;;;;;;;;;;;;;;;;;;;;
Animals_022_h;Animals;small alligators;%SubjectiveStrongNegativeAttribute+;%Alligator=;;;;;;;;;;;;;;;;;;;;;;;
Animals_023_h;Animals;dog's teeth;%DomesticDog=;%BodyPart+;;;;;;;;;;;;;;;;;;;;;;;
Animals_024_h;Animals;dead cat;%Dead=;%Feline+;;;;;;;;;;;;;;;;;;;;;;;
Animals_025_h;Animals;sheep ;%Sheep=;%CuttingDevice+;;;;;;;;;;;;;;;;;;;;;;;
Animals_026_h;Animals;snake;%Snake=;;;;;;;;;;;;;;;;;;;;;;;;
Animals_027_h;Animals;dead bird;%Dead=;%Bird=;;;;;;;;;;;;;;;;;;;;;;;
Animals_028_h;Animals;bat's teeth;%Mammal+;%Collection+;;;;;;;;;;;;;;;;;;;;;;;
Animals_029_v;Animals;horse legs;%Horse=;%Limb+;;;;;;;;;;;;;;;;;;;;;;;
Animals_030_h;Animals;snake;%Snake=;%Region+;;;;;;;;;;;;;;;;;;;;;;;
Animals_031_h;Animals;fly;%FlyInsect+;;;;;;;;;;;;;;;;;;;;;;;;
Animals_032_h;Animals;kangaroo skeleton;%Kangaroo=;%SubjectiveAssessmentAttribute+;;;;;;;;;;;;;;;;;;;;;;;
Animals_033_h;Animals;dead bird;%Dead=;%Bird=;;;;;;;;;;;;;;;;;;;;;;;
Animals_034_h;Animals;dog's teeth;%DomesticDog=;%BodyPart+;%Collection+;;;;;;;;;;;;;;;;;;;;;;
Animals_035_h;Animals;snake;%Snake=;%Black=;;;;;;;;;;;;;;;;;;;;;;;
Animals_036_h;Animals;horses;%Horse=;%Container+;;;;;;;;;;;;;;;;;;;;;;;
Animals_037_h;Animals;tick;%Tick=;;;;;;;;;;;;;;;;;;;;;;;;
Animals_038_h;Animals;dead wild boar;%Dead=;%Pig+;;;;;;;;;;;;;;;;;;;;;;;
Animals_039_h;Animals;dead dog;%Dead=;%DomesticDog=;;;;;;;;;;;;;;;;;;;;;;;
Animals_040_v;Animals;bees;%Bee=;%CorpuscularObject+;;;;;;;;;;;;;;;;;;;;;;;
Animals_041_h;Animals;insect;%Insect=;;;;;;;;;;;;;;;;;;;;;;;;
Animals_042_h;Animals;mosquito;%Insect+;;;;;;;;;;;;;;;;;;;;;;;;
Animals_043_h;Animals;insects;%Insect=;;;;;;;;;;;;;;;;;;;;;;;;
Animals_044_h;Animals;bees;%Bee=;%CorpuscularObject+;;;;;;;;;;;;;;;;;;;;;;;
Animals_045_h;Animals;dead bird;%Radiating[;%Bird=;;;;;;;;;;;;;;;;;;;;;;;
Animals_046_h;Animals;snake;%Snake=;;;;;;;;;;;;;;;;;;;;;;;;
Animals_047_h;Animals;lion;%Lion=;%Eating=;;;;;;;;;;;;;;;;;;;;;;;
Animals_048_h;Animals;starved dog;%DomesticDog=;%DiseaseOrSyndrome+;%Attaching+;;;;;;;;;;;;;;;;;;;;;;
Animals_049_h;Animals;sick dog;%DomesticDog=;%DiseaseOrSyndrome+;;;;;;;;;;;;;;;;;;;;;;;
Animals_050_h;Animals;dog;%DomesticDog=;%Communication+;%TrapOrCage+;;;;;;;;;;;;;;;;;;;;;;
Animals_051_h;Animals;sick birds;%DiseaseOrSyndrome+;%Bird=;;;;;;;;;;;;;;;;;;;;;;;
Animals_052_v;Animals;spider;%Arachnid+;%Arachnid+;;;;;;;;;;;;;;;;;;;;;;;
Animals_053_h;Animals;monkey;%Monkey=;%Monkey+;;%Fence=;;;;;;;;;;;;;;;;;;;;;
Animals_054_h;Animals;starved dog;%DiseaseOrSyndrome+;%DomesticDog=;;;;;;;;;;;;;;;;;;;;;;;
Animals_055_h;Animals;shark;%Fish+;;;;;;;;;;;;;;;;;;;;;;;;
Animals_056_h;Animals;dead cat;%Dead=;%Feline+;;;;;;;;;;;;;;;;;;;;;;;
Animals_057_h;Animals;dead crow;%Dead=;%Bird+;%Snowing=;;;;;;;;;;;;;;;;;;;;;;
Animals_058_h;Animals;snake;%Snake=;%Head=;;;;;;;;;;;;;;;;;;;;;;;
Animals_059_h;Animals;spider;%Arachnid+;%Arachnid+;;;;;;;;;;;;;;;;;;;;;;;
Animals_060_h;Animals;sick snow leopard;%Injuring+;%Feline+;;;;;;;;;;;;;;;;;;;;;;;
Animals_061_h;Animals;dog;%DomesticDog=;%Biting+;%String+;;;;;;;;;;;;;;;;;;;;;;
Animals_062_h;Animals;dead cow;%Dead=;%PathologicProcess+;%FemaleCow=;;;;;;;;;;;;;;;;;;;;;;
Animals_063_h;Animals;dead deer;%Dead=;%Deer=;;;;;;;;;;;;;;;;;;;;;;;
Animals_064_v;Animals;dead fish;%Dead=;%Fish=;%WaterArea=;;;;;;;;;;;;;;;;;;;;;;
Animals_065_h;Animals;worms;%Larval=;%Soil+;;;;;;;;;;;;;;;;;;;;;;;
Animals_066_h;Animals;pigs;%TrapOrCage+;%Pig=;;;;;;;;;;;;;;;;;;;;;;;
Animals_067_h;Animals;dead mouse;%Dead=;%Mouse=;;;;;;;;;;;;;;;;;;;;;;;
Animals_068_h;Animals;dead chinchillas;%Dead=;%Rodent+;;;;;;;;;;;;;;;;;;;;;;;
Animals_069_h;Animals;spider;%Arachnid+;%Arachnid+;;;;;;;;;;;;;;;;;;;;;;;
Animals_070_h;Animals;snake;%Snake=;%Hand+;;;;;;;;;;;;;;;;;;;;;;;
Animals_071_h;Animals;dead moose;%Dead=;%Deer+;;;;;;;;;;;;;;;;;;;;;;;
Animals_072_h;Animals;snake;%Snake=;%PlantLeaf=;;;;;;;;;;;;;;;;;;;;;;;
Animals_073_h;Animals;dead lion;%Proposition+;%Lion=;;;;;;;;;;;;;;;;;;;;;;;
Animals_074_h;Animals;starved dog;%DiseaseOrSyndrome+;%Injuring+;%DomesticDog=;;;;;;;;;;;;;;;;;;;;;;
Animals_075_h;Animals;sick chinchilla;%Obligation=;%Rodent+;%DiseaseOrSyndrome+;;;;;;;;;;;;;;;;;;;;;;
Animals_076_v;Animals;dog;%DomesticDog=;%RadiatingSound+;;;;;;;;;;;;;;;;;;;;;;;
Animals_077_h;Animals;sick dog;%Injuring+;%TrapOrCage+;%DomesticDog=;;;;;;;;;;;;;;;;;;;;;;
Animals_078_h;Animals;dead mouse;%Dead=;%Mouse=;;;;;;;;;;;;;;;;;;;;;;;
Animals_079_h;Animals;snake;%Snake=;%Head=;;;;;;;;;;;;;;;;;;;;;;;
Animals_080_h;Animals;monkey;%Monkey=;%RadiatingSound+;;;;;;;;;;;;;;;;;;;;;;;
Animals_081_h;Animals;insects;%Insect=;;;;;;;;;;;;;;;;;;;;;;;;
Animals_082_h;Animals;beetle;%Insect+;%PlantLeaf=;;;;;;;;;;;;;;;;;;;;;;;
Animals_083_h;Animals;cat;%Feline+;%Snowing=;;;;;;;;;;;;;;;;;;;;;;;
Animals_084_h;Animals;worms;%Worm=;%Hand+;;;;;;;;;;;;;;;;;;;;;;;
Animals_085_h;Animals;lion;%Tiger=;%RadiatingSound+;;;;;;;;;;;;;;;;;;;;;;;
Animals_086_v;Animals;cat;%Feline+;%DiseaseOrSyndrome+;;;;;;;;;;;;;;;;;;;;;;;
Animals_087_h;Animals;bat;%Mammal+;;;;;;;;;;;;;;;;;;;;;;;;
Animals_088_h;Animals;fish;%Fish=;;;;;;;;;;;;;;;;;;;;;;;;
Animals_089_v;Animals;lizard;%Reptile+;%SelfConnectedObject+;%Walking+;;;;;;;;;;;;;;;;;;;;;;
Animals_090_h;Animals;pelicans;%Bird+;%WaterArea=;;;;;;;;;;;;;;;;;;;;;;;
Animals_091_h;Animals;pelicans;%Bird+;%WaterArea=;;;;;;;;;;;;;;;;;;;;;;;
Animals_092_h;Animals;dog;%DomesticDog=;%Artifact+;;;;;;;;;;;;;;;;;;;;;;;
Animals_093_h;Animals;dead butterfly;%Dead=;%Butterfly=;;;;;;;;;;;;;;;;;;;;;;;
Animals_094_h;Animals;alligator;%Reptile+;%PlantBranch+;%WaterArea=;;;;;;;;;;;;;;;;;;;;;;
Animals_095_h;Animals;duck;%Duck=;%WaterArea=;;;;;;;;;;;;;;;;;;;;;;;
Animals_096_h;Animals;dogs;%DomesticDog=;%Toy=;%RecreationOrExercise+;%Field=;;;;;;;;;;;;;;;;;;;;;
Animals_097_h;Animals;cow;%FemaleCow=;%Field=;;;;;;;;;;;;;;;;;;;;;;;
Animals_098_h;Animals;monkeys;%Monkey+;%WaterArea=;%Monkey=;;;;;;;;;;;;;;;;;;;;;;
Animals_099_h;Animals;cow;%FemaleCow=;%Field=;;;;;;;;;;;;;;;;;;;;;;;
Animals_100_h;Animals;flamingo;%Bird+;%WaterArea=;;%Bird=;;;;;;;;;;;;;;;;;;;;;
Animals_101_v;Animals;cat;%Feline+;%Eating=;%Artifact+;;;;;;;;;;;;;;;;;;;;;;
Animals_102_h;Animals;leopard;%Feline+;%Object+;;;;;;;;;;;;;;;;;;;;;;;
Animals_103_h;Animals;kangaroo;%Kangaroo=;;;;;;;;;;;;;;;;;;;;;;;;
Animals_104_h;Animals;pigeon;%Pigeon=;;;;;;;;;;;;;;;;;;;;;;;;
Animals_105_h;Animals;hen;%Hen=;%Chicken=;;;;;;;;;;;;;;;;;;;;;;;
Animals_106_h;Animals;butterfly;%Butterfly=;;;;;;;;;;;;;;;;;;;;;;;;
Animals_107_h;Animals;fish;%Fish=;%Sand=;;;;;;;;;;;;;;;;;;;;;;;
Animals_108_h;Animals;hippopotamus;%HoofedMammal+;%Mud=;;;;;;;;;;;;;;;;;;;;;;;
Animals_109_h;Animals;cat;%Feline+;%Eating=;%Artifact+;;;;;;;;;;;;;;;;;;;;;;
Animals_110_h;Animals;sea lions;%Carnivore+;%Sand=;%ShoreArea=;;;;;;;;;;;;;;;;;;;;;;
Animals_111_h;Animals;bats;%Mammal+;;;;;;;;;;;;;;;;;;;;;;;;
Animals_112_v;Animals;fish;%Fish=;%Invertebrate+;;;;;;;;;;;;;;;;;;;;;;;
Animals_113_h;Animals;horse;%Horse=;%ShoreArea=;;;;;;;;;;;;;;;;;;;;;;;
Animals_114_h;Animals;cat;%Feline+;%Artifact+;%White=;%Floor+;;;;;;;;;;;;;;;;;;;;;
Animals_115_h;Animals;cat;%Feline+;%located+;;;;;;;;;;;;;;;;;;;;;;;
Animals_116_h;Animals;ladybug;%Insect+;%Hand+;;;;;;;;;;;;;;;;;;;;;;;
Animals_117_h;Animals;monkey;%Monkey=;%String+;;;;;;;;;;;;;;;;;;;;;;;
Animals_118_h;Animals;monkey;%Monkey=;%MammalCub+;;;;;;;;;;;;;;;;;;;;;;;
Animals_119_h;Animals;crow;%Bird+;;;;;;;;;;;;;;;;;;;;;;;;
Animals_120_h;Animals;monkeys;%Monkey=;;;;;;;;;;;;;;;;;;;;;;;;
Animals_121_h;Animals;bull;%Bull=;;;;;;;;;;;;;;;;;;;;;;;;
Animals_122_h;Animals;monkeys;%Monkey=;;;;;;;;;;;;;;;;;;;;;;;;
Animals_123_h;Animals;duck;%Duck=;%WaterArea=;;;;;;;;;;;;;;;;;;;;;;;
Animals_124_v;Animals;goats;%Goat=;;;;;;;;;;;;;;;;;;;;;;;;
Animals_125_h;Animals;monkeys;%Monkey=;;;;;;;;;;;;;;;;;;;;;;;;
Animals_126_h;Animals;camels;%Camel=;%Desert=;;;;;;;;;;;;;;;;;;;;;;;
Animals_127_h;Animals;snails;%Gastropod+;;;;;;;;;;;;;;;;;;;;;;;;
Animals_128_h;Animals;horses;%Horse=;%Snowing=;%River=;;;;;;;;;;;;;;;;;;;;;;
Animals_129_h;Animals;fish;%Fish=;%FluidContainer+;%FishTank=;;;;;;;;;;;;;;;;;;;;;;
Animals_130_h;Animals;lizard;%Reptile+;;;;;;;;;;;;;;;;;;;;;;;;
Animals_131_h;Animals;ducks;%Duck=;%NonFullyFormed+;%Mud=;;;;;;;;;;;;;;;;;;;;;;
Animals_132_h;Animals;swans;%Bird+;%ShoreArea=;%WaterArea=;;;;;;;;;;;;;;;;;;;;;;
Animals_133_h;Animals;cat;%Feline+;%Rock=;;;;;;;;;;;;;;;;;;;;;;;
Animals_134_h;Animals;dog;%DomesticDog=;%White=;;;;;;;;;;;;;;;;;;;;;;;
Animals_135_v;Animals;insect;%Insect=;%Green=;;;;;;;;;;;;;;;;;;;;;;;
Animals_136_h;Animals;cat;%Feline+;;;;;;;;;;;;;;;;;;;;;;;;
Animals_137_h;Animals;camels;%Camel=;%Desert=;;;;;;;;;;;;;;;;;;;;;;;
Animals_138_h;Animals;chicken;%Chicken=;%Hen=;;;;;;;;;;;;;;;;;;;;;;;
Animals_139_h;Animals;fish;%Fish=;;;;;;;;;;;;;;;;;;;;;;;;
Animals_140_h;Animals;fish;%Fish=;;;;;;;;;;;;;;;;;;;;;;;;
Animals_141_h;Animals;monkey;%Monkey=;%Rock=;;;;;;;;;;;;;;;;;;;;;;;
Animals_142_h;Animals;snake;%Snake=;%WaterArea=;;;;;;;;;;;;;;;;;;;;;;;
Animals_143_h;Animals;snake;%Snake=;%WaterArea=;%Rock=;;;;;;;;;;;;;;;;;;;;;;
Animals_144_h;Animals;alligator;%Alligator=;;;;;;;;;;;;;;;;;;;;;;;;
Animals_145_h;Animals;snake;%Snake=;%Green=;;;;;;;;;;;;;;;;;;;;;;;
Animals_146_h;Animals;cow;%FemaleCow=;%Object+;;;;;;;;;;;;;;;;;;;;;;;
Animals_147_v;Animals;lizard;%Reptile+;%BotanicalTree=;;;;;;;;;;;;;;;;;;;;;;;
Animals_148_h;Animals;sea lion;%Carnivore+;%Rock=;%Soil+;;;;;;;;;;;;;;;;;;;;;;
Animals_149_v;Animals;bird;%Bird=;%WaterArea=;;;;;;;;;;;;;;;;;;;;;;;
Animals_150_h;Animals;sea lions;%Carnivore+;%Rock=;%WaterArea=;;;;;;;;;;;;;;;;;;;;;;
Animals_151_v;Animals;worm;%Myriapod+;%BotanicalTree=;;;;;;;;;;;;;;;;;;;;;;;
Animals_152_h;Animals;black swan;%Bird+;%Bird+;%Black=;;;;;;;;;;;;;;;;;;;;;;
Animals_153_v;Animals;turtle;%Turtle=;%Grass=;%Turtle+;;;;;;;;;;;;;;;;;;;;;;
Animals_154_h;Animals;cow;%Female+;%WaterArea=;;;;;;;;;;;;;;;;;;;;;;;
Animals_155_v;Animals;cat;%Feline+;%Chair=;;;;;;;;;;;;;;;;;;;;;;;
Animals_156_h;Animals;fish;%Fish=;%SeabedArea=;;;;;;;;;;;;;;;;;;;;;;;
Animals_157_h;Animals;fish;%Fish=;%Blue+;;;;;;;;;;;;;;;;;;;;;;;
Animals_158_h;Animals;cats;%Feline+;%Container+;%Giving+;;;;;;;;;;;;;;;;;;;;;;
Animals_159_h;Animals;fish;%Fish=;%Invertebrate+;;;;;;;;;;;;;;;;;;;;;;;
Animals_160_h;Animals;seahorses;%Fish+;;;;;;;;;;;;;;;;;;;;;;;;
Animals_161_h;Animals;fish;%Fish=;%Blue+;;;;;;;;;;;;;;;;;;;;;;;
Animals_162_h;Animals;lizards;%Reptile+;%Rock=;%PlantBranch=;;;;;;;;;;;;;;;;;;;;;;
Animals_163_h;Animals;llama;%Llama=;;;;;;;;;;;;;;;;;;;;;;;;
Animals_164_h;Animals;sea lion;%Carnivore+;%Rock=;;;;;;;;;;;;;;;;;;;;;;;
Animals_165_h;Animals;goats;%Goat=;%SubjectiveAssessmentAttribute+;;;;;;;;;;;;;;;;;;;;;;;
Animals_166_v;Animals;cats;%Feline+;%Asleep=;%Box=;;;;;;;;;;;;;;;;;;;;;;
Animals_167_h;Animals;cat;%Feline+;;;;;;;;;;;;;;;;;;;;;;;;
Animals_168_h;Animals;cat;%Feline+;%Artifact+;%Wood=;;;;;;;;;;;;;;;;;;;;;;
Animals_169_h;Animals;turtle;%Turtle=;%Turtle+;;;;;;;;;;;;;;;;;;;;;;;
Animals_170_h;Animals;turtle;%Turtle=;%Sea=;%SeabedArea=;;;;;;;;;;;;;;;;;;;;;;
Animals_171_h;Animals;boar;%Pig+;;;;;;;;;;;;;;;;;;;;;;;;
Animals_172_h;Animals;peacock;%Male+;%Blue+;;;;;;;;;;;;;;;;;;;;;;;
Animals_173_h;Animals;seal;%Carnivore+;%Rock=;%Ocean=;%Sea=;;;;;;;;;;;;;;;;;;;;;
Animals_174_h;Animals;lizards;%Reptile+;%Green=;%Rock=;;;;;;;;;;;;;;;;;;;;;;
Animals_175_h;Animals;dog;%DomesticDog=;%RecreationOrExerciseDevice+;%Grabbing+;%Jumping=;;;;;;;;;;;;;;;;;;;;;
Animals_176_h;Animals;baby deer;%Deer=;%NonFullyFormed+;;;;;;;;;;;;;;;;;;;;;;;
Animals_177_h;Animals;dog;%DomesticDog=;%Snowing=;%SubjectiveStrongPositiveAttribute+;;;;;;;;;;;;;;;;;;;;;;
Animals_178_v;Animals;dog;%DomesticDog=;%RecreationOrExerciseDevice+;%Grabbing+;%Jumping=;;;;;;;;;;;;;;;;;;;;;
Animals_179_h;Animals;dogs;%DomesticDog=;%Jumping=;;;;;;;;;;;;;;;;;;;;;;;
Animals_180_h;Animals;dog;%DomesticDog=;%Grass=;;;;;;;;;;;;;;;;;;;;;;;
Animals_181_h;Animals;butterfly;%Butterfly=;%Black=;%FloweringPlant+;;;;;;;;;;;;;;;;;;;;;;
Animals_182_h;Animals;butterfly;%Butterfly=;%PlantLeaf=;;;;;;;;;;;;;;;;;;;;;;;
Animals_183_h;Animals;dog;%DomesticDog=;%ShoreArea=;%Ocean=;%Running=;;;;;;;;;;;;;;;;;;;;;
Animals_184_h;Animals;cows;%FemaleCow=;%Mountain=;%Grassland=;;;;;;;;;;;;;;;;;;;;;;
Animals_185_h;Animals;birds;%Bird=;%Grassland=;;;;;;;;;;;;;;;;;;;;;;;
Animals_186_h;Animals;dolphins;%AquaticMammal+;%WaterArea=;%RecreationOrExercise+;;;;;;;;;;;;;;;;;;;;;;
Animals_187_h;Animals;dolphins;%AquaticMammal+;%WaterArea=;%RecreationOrExercise+;;;;;;;;;;;;;;;;;;;;;;
Animals_188_h;Animals;frog;%Toad+;%Green=;%PlantLeaf=;;;;;;;;;;;;;;;;;;;;;;
Animals_189_v;Animals;turtle;%Turtle=;%SeabedArea=;;;;;;;;;;;;;;;;;;;;;;;
Animals_190_h;Animals;dog;%DomesticDog=;%Soil=;%Foot+;;;;;;;;;;;;;;;;;;;;;;
Animals_191_h;Animals;kitten;%Kitten=;%Soil=;;;;;;;;;;;;;;;;;;;;;;;
Animals_192_h;Animals;cat;%Feline+;%Wall=;;;;;;;;;;;;;;;;;;;;;;;
Animals_193_h;Animals;butterfly;%Butterfly=;%Black=;;;;;;;;;;;;;;;;;;;;;;;
Animals_194_h;Animals;dog;%DomesticDog=;%Drinking=;%Artifact+;%Sand=;;;;;;;;;;;;;;;;;;;;;
Animals_195_h;Animals;cat;%Feline+;%FishMeat+;%Table=;%Device+;;;;;;;;;;;;;;;;;;;;;
Animals_196_h;Animals;dog;%DomesticDog=;%Fence=;%Kennel=;;;;;;;;;;;;;;;;;;;;;;
Animals_197_h;Animals;kangaroo;%Kangaroo=;%NightTime+;;;;;;;;;;;;;;;;;;;;;;;
Animals_198_h;Animals;lion;%Tiger=;%Meat=;%Snowing=;;;;;;;;;;;;;;;;;;;;;;
Animals_199_h;Animals;horse;%Horse=;%Head=;;;;;;;;;;;;;;;;;;;;;;;
Animals_200_v;Animals;cat;%Feline+;%Mouse=;%Dead=;;;;;;;;;;;;;;;;;;;;;;
Animals_201_h;Animals;turtle;%Turtle=;%SeabedArea=;%Invertebrate+;;;;;;;;;;;;;;;;;;;;;;
Animals_202_h;Animals;cat;%Feline+;;;;;;;;;;;;;;;;;;;;;;;;
Animals_203_h;Animals;dog;%DomesticDog=;;;;;;;;;;;;;;;;;;;;;;;;
Animals_204_h;Animals;frogs;%Toad+;%SexualReproduction+;%Grass=;;;;;;;;;;;;;;;;;;;;;;
Animals_205_h;Animals;squirrel;%Squirrel+;%Soil=;;;;;;;;;;;;;;;;;;;;;;;
Animals_206_h;Animals;chinchilla;%Rodent+;%Eating=;%PlantLeaf=;;;;;;;;;;;;;;;;;;;;;;
Animals_207_h;Animals;dog's teeth;%DomesticDog=;%Collection+;%SubjectiveStrongNegativeAttribute+;;;;;;;;;;;;;;;;;;;;;;
Animals_208_h;Animals;kitten;%Kitten=;%Feline+;%Unilluminated=;%Blanket+;%Bed=;;;;;;;;;;;;;;;;;;;;
Animals_209_h;Animals;dog;%DomesticDog=;%Roadway=;%Brick+;;;;;;;;;;;;;;;;;;;;;;
Animals_210_v;Animals;guinea pig;%GuineaPig=;%Hay=;;;;;;;;;;;;;;;;;;;;;;;
Animals_211_h;Animals;boars;%Pig+;%Soil=;%Mud=;;;;;;;;;;;;;;;;;;;;;;
Animals_212_v;Animals;parrot;%Parrot=;%Green=;;;;;;;;;;;;;;;;;;;;;;;
Animals_213_h;Animals;little elephants;%Elephant=;%MammalCub=;%NonFullyFormed+;;;;;;;;;;;;;;;;;;;;;;
Animals_214_h;Animals;cow;%FemaleCow=;%Soil=;%Grass=;;;;;;;;;;;;;;;;;;;;;;
Animals_215_v;Animals;monkey;%Monkey=;%Drinking=;%Bottle=;;;;;;;;;;;;;;;;;;;;;;
Animals_216_v;Animals;shrimps;%PrawnMeat=;;;;;;;;;;;;;;;;;;;;;;;;
Animals_217_h;Animals;pigeons;%Artifact+;%Pigeon=;%Asia+;;;;;;;;;;;;;;;;;;;;;;
Animals_218_h;Animals;ducks;%Duck=;%Mud=;;;;;;;;;;;;;;;;;;;;;;;
Animals_219_h;Animals;llamas;%Llama=;%Steppe=;%Mountain=;;;;;;;;;;;;;;;;;;;;;;
Animals_220_h;Animals;fish;%Fish=;%Invertebrate+;;;;;;;;;;;;;;;;;;;;;;;
Animals_221_h;Animals;worms;%Worm+;%Hand+;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
